player_name,team,Position,Match,Minutes played,Successful Actions,Total Actions,Action Efficiency,Best Position
A. Bilow,Ohio State Buckeyes,RW,Michigan Wolverines - Ohio State Buckeyes 3:6,84,41,55,0.7454545454545455,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,LW,Northwestern Wildcats - Ohio State Buckeyes 4:2,32,7,14,0.5,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,"LCMF, RW",Ohio State Buckeyes - Butler Bulldogs 1:0,56,21,30,0.7,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,0,Ohio State Buckeyes - Butler Bulldogs 2:0,11,0,2,0.0,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,"LW, RW",Ohio State Buckeyes - CSUN Matadors 1:1,69,24,40,0.6,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,LAMF,Ohio State Buckeyes - Cal Poly Mustangs 3:0,36,13,27,0.48148148148148145,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,"RAMF, RW",Ohio State Buckeyes - Cleveland State Vikings 1:1,52,39,51,0.7647058823529411,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,RW,Ohio State Buckeyes - Indiana Hoosiers 2:2,61,26,49,0.5306122448979592,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,"LW, RW",Ohio State Buckeyes - Kentucky Wildcats 3:0,57,15,31,0.4838709677419355,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,CF,Ohio State Buckeyes - Maryland College Park Terrapins 4:1,31,16,24,0.6666666666666666,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,RW,Ohio State Buckeyes - Michigan State Spartans 1:0,19,6,10,0.6,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,0,Ohio State Buckeyes - Michigan State Spartans 2:1,5,1,1,1.0,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,RW,Ohio State Buckeyes - Michigan State Spartans 2:2,60,25,44,0.5681818181818182,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,"LW, CF",Ohio State Buckeyes - Michigan Wolverines 0:0,65,26,42,0.6190476190476191,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,LW,Ohio State Buckeyes - NKU Norse 3:2,16,7,10,0.7,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,RW,Ohio State Buckeyes - Northwestern Wildcats 2:0,66,21,37,0.5675675675675675,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,"RW, CF",Ohio State Buckeyes - Penn State Nittany Lion 0:3,48,16,27,0.5925925925925926,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,"LW, RCMF3",Ohio State Buckeyes - Rutgers Scarlet Knights 3:0,76,31,49,0.6326530612244898,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,RW,Ohio State Buckeyes - SIUE Cougars 4:0,55,27,46,0.5869565217391305,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,"LAMF, RAMF",Ohio State Buckeyes - Seton Hall Pirates 0:1,65,26,49,0.5306122448979592,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,RAMF,Ohio State Buckeyes - South Carolina Gamecocks 1:1,23,6,8,0.75,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,"RAMF, RW",Ohio State Buckeyes - UC Davis Aggies 1:2,41,23,34,0.6764705882352942,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,RW,Ohio State Buckeyes - UNLV Rebels 3:2,67,21,33,0.6363636363636364,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,CF,Ohio State Buckeyes - Washington Huskies 1:1,77,22,39,0.5641025641025641,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,"RCMF, RW",Ohio State Buckeyes - Washington Huskies 2:0,96,37,67,0.5522388059701493,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,"AMF, CF, LW",Ohio State Buckeyes - Wisconsin Badgers 0:1,40,23,38,0.6052631578947368,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,RAMF,Ohio State Buckeyes - Wright State Raiders 2:0,26,11,17,0.6470588235294118,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,LW,Ohio State Buckeyes - Xavier Musketeers 0:0,42,8,19,0.42105263157894735,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,RAMF,Ohio State Buckeyes - Xavier Musketeers 3:1,78,23,40,0.575,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,"LW, RW",Penn State Nittany Lion - Ohio State Buckeyes (P) 1:1,42,15,25,0.6,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,RW,Penn State Nittany Lion - Ohio State Buckeyes 0:5,59,35,50,0.7,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,RW,Rutgers Scarlet Knights - Ohio State Buckeyes 0:2,37,17,31,0.5483870967741935,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,0,Rutgers Scarlet Knights - Ohio State Buckeyes 2:1,7,5,11,0.45454545454545453,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,RW,UCLA Bruins - Ohio State Buckeyes 2:1,74,39,53,0.7358490566037735,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,"LW, RW",Wisconsin Badgers - Ohio State Buckeyes 2:3,67,22,36,0.6111111111111112,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,CF,Wisconsin Badgers - Ohio State Buckeyes 3:2,15,6,10,0.6,"RAMF, RW"
A. Braman,Wisconsin Badgers,GK,Maryland College Park Terrapins - Wisconsin Badgers 3:0,17,3,4,0.75,GK
A. Braman,Midwestern State Mustangs,GK,Midwestern State Mustangs - Colorado Mesa Mavericks 1:0,111,17,20,0.85,GK
A. Braman,Midwestern State Mustangs,GK,Midwestern State Mustangs - Eastern New Mexico Greyhounds 1:0,103,21,25,0.84,GK
A. Braman,Midwestern State Mustangs,GK,Midwestern State Mustangs - Tyler Patriots 2:0,100,31,42,0.7380952380952381,GK
